"PARAM","GROUP","VARIABLE","RESPCAT","ESTLC1","ESTLC2","ESTLC3","ESTLC4","ESTLC5","ESTLC6"
"RHO",2,"H6",1,0.89555957118729,0.887137091714328,0.861603184992067,0.838178565501454,0.876687152129932,0.854873912521428
"RHO",2,"H7",1,0.726333952838222,0.697903034784611,0.783195899739141,0.626892392048821,0.67171211597396,0.635240726266737
"RHO",2,"H8",1,0.611166344693399,0.654980502129263,0.695948791287294,0.582367657764688,0.614522330429452,0.691622403176509
"RHO",2,"H9",1,0.594897025764021,0.674501248625495,0.630240771957541,0.67254386784276,0.560885141760897,0.930110161782979
"RHO",2,"H10",1,0.842732701523361,0.663524329188289,0.592407529535708,0.622134752746439,0.756011803562563,9.95070602135135e-058
"RHO",2,"H11",1,0.579149898511217,0.753555843342934,0.668307080172455,0.840816054980173,0.587396284806258,0.968318137568022
"RHO",2,"H12",1,0.890133949551806,0.648486916606704,0.610384696177228,1.88606668544326e-036,0.803747830875661,0.904449661153596
"RHO",2,"H13",1,0.330828683672931,0.554370266060293,0.568740945056242,0.892757899532431,0.315480904844842,0.259559255594094
"RHO",2,"H14",1,0.746026447385145,0.764141034889636,0.57430147126613,0.737778450683079,0.713867864723549,0.807438614476693
"RHO",2,"H15",1,0.696520695994,0.702329686844206,0.660647355822928,0.651204313087143,0.692861472874336,0.644858265635311
"RHO",2,"H16",1,0.733992634511624,0.733020763935126,0.609572437117284,0.705553866558465,0.616763042277645,0.725672263850443
"RHO",2,"H17",1,0.666675678054712,0.736589200030612,0.597784086235843,0.618888402932451,0.779908810897673,0.723062677366957
"RHO",2,"H18",1,0.456826188994744,0.64353988388232,0.588454804672971,0.568313106216724,0.779928360418082,0.511251697427434
"RHO",2,"H19",1,0.999524171672776,0.68884367605498,0.55198566403153,0.675311538910403,2.45534681831823e-061,0.667752676439465
"RHO",2,"H20",1,0.587000208858276,0.688375038328323,0.378498747687447,0.605949014652444,0.717730336982891,0.655366970876426
"RHO",2,"H21",1,0.65028975780993,0.715414877189429,0.437864595499477,0.661787766881366,0.646927909407199,0.629977183835925
"RHO",2,"H22",1,0.770424853217879,0.807822799530492,0.32201582234578,0.79378878645571,0.750938227912555,0.762676067719452
"RHO",2,"H23",1,0.929280668858274,0.941653012355868,0.60924232146249,0.954919689989566,0.927190317935226,0.938236588978986
"RHO",2,"H0",2,0.000755968721112313,0.0127820256681571,0.0886363443113837,8.42532398901548e-188,0.00138596318478584,0.00188382515993462
"RHO",2,"H1",2,0,0.00554550644949252,0.0352541015439966,0.00021329269683291,0,0.000315172576441936
"RHO",2,"H2",2,7.84149999378839e-046,0.00329962363934117,0.0274916976984636,0,0,0.000299678588484957
"RHO",2,"H3",2,0.000166423820680543,0.00396606984001067,0.0113937505200019,0,0.000276889168828229,0
"RHO",2,"H4",2,0,0.00413963665637388,0.00732362177609858,0.000322201830318942,0.000905370154048359,0
"RHO",2,"H5",2,0.000172671654325034,0.00612070353158128,0.00424318649274388,0.000906300710701872,0.00097205873488879,0
"RHO",2,"H6",2,0.00966443474021179,0.0902609163021591,0.0235457360993468,0.0157543807387988,0.0190113197428013,0.0132832131360566
"RHO",2,"H7",2,0.0147205855274213,0.236169184905566,0.0166396550510055,0.0147779093538302,0.0122076215607135,0.0197596766508502
"RHO",2,"H8",2,0.0207856665976869,0.271330461421674,0.0485211040514201,0.0267740690804304,0.0170642278043967,0.0198420851517825
"RHO",2,"H9",2,0.0117863862079026,0.25442111397529,0.0527093897270214,0.0110466998621273,0.0213537996195185,0.00342150867376051
"RHO",2,"H10",2,0.0100369263373145,0.26247558369553,0.0511410928300804,0.0137421859378439,0.0136477574531984,0.0513705258794415
"RHO",2,"H11",2,0.0213073339729948,0.191139186921301,0.0339294756818996,0.00832176044545729,0.0255093356018955,0.000481298927494475
"RHO",2,"H12",2,0.00934098812464563,0.307338691992835,0.0353673396121144,0.0853289107267756,0.0177250148865994,0.0147123787115121
"RHO",2,"H13",2,0.0554879134289773,0.393584979619141,0.0620891558758979,0.00632999205031841,0.0621668760550604,0.0695769739046001
"RHO",2,"H14",2,0.0200192849413926,0.189404497138446,0.062498635634479,0.0141224893157798,0.0195841093734297,0.0113423432168061
"RHO",2,"H15",2,0.0126605289606826,0.229424971500708,0.052818515365394,0.0198408839374587,0.0147944738908487,0.026777885956435
"RHO",2,"H16",2,0.0178863223451615,0.21127502237552,0.0748451834391618,0.0244032542663494,0.0264600167273916,0.0243674243743044
"RHO",2,"H17",2,0.0347560757857143,0.232474537653225,0.0901436071151985,0.0482362777326563,0.0305994560766397,0.0382911456442783
"RHO",2,"H18",2,0.0673009083536485,0.321928521456056,0.121806881647224,0.0538153942822052,0.0385248338750341,0.0721451204934529
"RHO",2,"H19",2,2.25690723429236e-030,0.26856577596636,0.1807120874468,0.0512650586885964,0.146649282149403,0.0638186183689974
"RHO",2,"H20",2,0.0542701677090502,0.261019257279022,0.29361775061261,0.059676823264521,0.0423543293935877,0.0561474652423361
"RHO",2,"H21",2,0.0455400173091364,0.232260546759748,0.333984229834684,0.0492044400814731,0.0506895005036234,0.0506868563354756
"RHO",2,"H22",2,0.0283187459418128,0.152264345379909,0.363869407154288,0.0201525806455312,0.0247309944380947,0.0316369865592998
"RHO",2,"H23",2,0.00521424619251022,0.047775254840396,0.201012896194575,0.00188960107900222,0.00610954957297878,0.00287885578216653
"RHO",2,"H0",3,0.0183415406188026,0.0031868768197029,0.141637835135542,0.0101416700974635,0.0179969949043969,0.0131035227319672
"RHO",2,"H1",3,0.00665649688377278,0.00121785441832969,0.106246371855249,0.00339726182827436,0.00589000096618409,0.00322348038961401
"RHO",2,"H2",3,0.00433383689391819,0.00153960690454115,0.0530032293822072,0.00358577835020137,0.00373799819753626,0.0024453045006433
"RHO",2,"H3",3,0.00437828277618834,0.00123952341166927,0.0448265432388975,0.00242404518266272,0.00474460059298732,0.00578481899482127
"RHO",2,"H4",3,0.00573402793208668,0.000996342762770581,0.0288115066002541,0.00722263419323998,0.00587092566463795,0.0102393258564154
"RHO",2,"H5",3,0.0112778183106315,0.00228581821628524,0.0283308469531858,0.016489119950973,0.0153841187633554,0.0121297464867065
"RHO",2,"H6",3,0.0947759940724979,0.0226019919835126,0.114851078908586,0.146067053759747,0.104301528127267,0.131842874342515
"RHO",2,"H7",3,0.258945461634357,0.0659277803098229,0.200164445209853,0.358329698597349,0.316080262465327,0.344999597082413
"RHO",2,"H8",3,0.368047988708914,0.0736890364490626,0.255530104661286,0.390858273154881,0.368413441766151,0.288535511671708
"RHO",2,"H9",3,0.393316588028076,0.0710776373992145,0.317049838315437,0.316409432295113,0.417761058619584,0.0664683295432605
"RHO",2,"H10",3,0.147230372139324,0.0740000871161814,0.356451377634212,0.364123061315717,0.230340438984238,0.948629474120559
"RHO",2,"H11",3,0.399542767515788,0.0553049697357652,0.297763444145646,0.150862184574369,0.387094379591847,0.0312005635044835
"RHO",2,"H12",3,0.100525062323548,0.0441743914004614,0.354247964210658,0.914671089273224,0.17852715423774,0.0808379601348921
"RHO",2,"H13",3,0.613683402898092,0.0520447543205665,0.36916989906786,0.100912108417251,0.622352219100097,0.670863770501306
"RHO",2,"H14",3,0.233954267673462,0.0464544679719181,0.363199893099391,0.248099060001141,0.266548025903021,0.181219042306501
"RHO",2,"H15",3,0.290818775045317,0.0682453416550861,0.286534128811679,0.328954802975399,0.292344053234816,0.328363848408254
"RHO",2,"H16",3,0.248121043143215,0.0557042136893543,0.315582379443554,0.270042879175186,0.356776940994963,0.249960311775252
"RHO",2,"H17",3,0.298568246159574,0.0309362623161628,0.312072306648958,0.332875319334893,0.189491733025687,0.238646176988765
"RHO",2,"H18",3,0.475872902651608,0.0345315946616241,0.289738313679805,0.377871499501071,0.181546805706884,0.416603182079113
"RHO",2,"H19",3,0.000475828327223558,0.0425905479786608,0.267302248521671,0.273423402401001,0.853350717850597,0.268428705191537
"RHO",2,"H20",3,0.358729623432674,0.0506057043926554,0.327883501699943,0.334374162083035,0.239915333623522,0.288485563881238
"RHO",2,"H21",3,0.304170224880934,0.052324576050823,0.228151174665839,0.289007793037161,0.302382590089178,0.3193359598286
"RHO",2,"H22",3,0.201256400840308,0.0399128550895994,0.314114770499933,0.186058632898759,0.22433077764935,0.205686945721248
"RHO",2,"H23",3,0.0655050849492162,0.0105717328037364,0.189744782342934,0.0431907089314318,0.066700132491795,0.0588845552388475
