"PARAM","GROUP","VARIABLE","RESPCAT","ESTLC1","ESTLC2","ESTLC3","ESTLC4"
"RHO",1,"H17",3,0.251500662958952,0.0312436575664563,0.297130910961354,0.316152156145895
"RHO",1,"H18",3,0.368898471982203,0.0352159967170755,0.275520912518991,0.377071060779759
"RHO",1,"H19",3,0.318659471200644,0.0443672882255547,0.290699249911252,0.311789260878128
"RHO",1,"H20",3,0.304259184802167,0.050819898755037,0.311103544222399,0.332189188878991
"RHO",1,"H21",3,0.305917490880664,0.0527328659828589,0.233005015689413,0.295168871908128
"RHO",1,"H22",3,0.206588527324377,0.0402093724481008,0.302377966131313,0.195345814450169
"RHO",1,"H23",3,0.0620214546053195,0.0106110863547455,0.185619405886355,0.0489030674197767
"RHO",2,"H0",1,0.98357744462631,0.984040922892853,0.785279220233769,0.987530755838632
"RHO",2,"H1",1,0.994547392167053,0.993199277920224,0.872930558620963,0.996160033692113
"RHO",2,"H2",1,0.996675416837854,0.995067858310172,0.926872546328082,0.996190418522378
"RHO",2,"H3",1,0.99489537412481,0.994875802696948,0.947692758493338,0.99772111936403
"RHO",2,"H4",1,0.993456813206692,0.994806893855848,0.965717502597311,0.992133774654914
"RHO",2,"H5",1,0.987087951629421,0.991684210786262,0.968100053630589,0.983182844724742
"RHO",2,"H6",1,0.882163330641051,0.887136845490229,0.862454561934159,0.843852101364573
"RHO",2,"H7",1,0.693160935029128,0.698012049954538,0.779960248410479,0.629644363109708
"RHO",2,"H8",1,0.634257138730131,0.655855165356439,0.694636102286961,0.582276339118446
"RHO",2,"H9",1,0.66592748039083,0.675341313405146,0.625662292609228,0.65638171692241
"RHO",2,"H10",1,0.629256235248184,0.658582730555558,0.605518848364943,0.628110638490841
"RHO",2,"H11",1,0.664865800715513,0.753965448846739,0.659014413414519,0.812175827413667
"RHO",2,"H12",1,0.97355192696305,0.648270053728298,0.614243080730888,1.48984531296853e-035
"RHO",2,"H13",1,0.299756837173438,0.554222338060648,0.554339982567351,0.795216857693985
"RHO",2,"H14",1,0.750874709822064,0.763634882612176,0.576747709794686,0.740931162630787
"RHO",2,"H15",1,0.688065696350705,0.702030831210082,0.668773009504113,0.650406558780258
"RHO",2,"H16",1,0.706609194472024,0.733483929792009,0.604908700228751,0.685789033511616
"RHO",2,"H17",1,0.715094760154356,0.736640935867665,0.617475363171487,0.637707171770458
"RHO",2,"H18",1,0.572557544123872,0.642722050253636,0.609234956007546,0.568571273835138
"RHO",2,"H19",1,0.623170952586521,0.686157715731053,0.528905486879361,0.633267970951962
"RHO",2,"H20",1,0.646363136928935,0.688457762892689,0.409970942428347,0.610911609538888
"RHO",2,"H21",1,0.647235599027156,0.715555238510981,0.446041109595062,0.657762177596791
"RHO",2,"H22",1,0.767328330060593,0.807665266283526,0.356898744525381,0.784121462423975
"RHO",2,"H23",1,0.933470805481599,0.941717785016177,0.633441571421535,0.94881916408551
"RHO",2,"H0",2,0.000958167242075695,0.0128365742997377,0.080332011223356,7.33258449902087e-037
"RHO",2,"H1",2,5.81493008691911e-211,0.00562169383725488,0.030933477335886,0.000172422799423925
"RHO",2,"H2",2,1.08944433876663e-156,0.00342364615585326,0.0239314934585326,0
"RHO",2,"H3",2,1.4703053049332e-132,0.00394172182791768,0.0110498494992682,0.000101635463993364
"RHO",2,"H4",2,5.23059119983076e-005,0.00422225406400926,0.00713616785738726,0.000482414814282241
"RHO",2,"H5",2,0.000372735002011013,0.0061179282325509,0.00348728456667317,0.000881790890572512
"RHO",2,"H6",2,0.0125929127330418,0.0900562589691736,0.0246711534997949,0.0163057139048473
"RHO",2,"H7",2,0.0141364993429874,0.236310646950078,0.0173177661823593,0.0153126835445992
"RHO",2,"H8",2,0.0187007660584955,0.270984945320059,0.0463585060486188,0.0257829107027005
"RHO",2,"H9",2,0.0126261348464621,0.253908212854071,0.0493917042469143,0.0116626579649668
"RHO",2,"H10",2,0.0194015380388367,0.26360989403847,0.0507877459801608,0.013991864760898
"RHO",2,"H11",2,0.0182656570678451,0.190881675657767,0.03449010693668,0.00927628440091944
"RHO",2,"H12",2,0.00344427999182439,0.307296994517622,0.0347789752955668,0.0859015388082814
"RHO",2,"H13",2,0.0614390970616741,0.393600455895156,0.0623274413259109,0.0145836895256023
"RHO",2,"H14",2,0.0177867804200557,0.189287888737053,0.0581186412148654,0.0145728425448109
"RHO",2,"H15",2,0.0156461969335247,0.229207704581489,0.0500189237069661,0.0197461743250988
"RHO",2,"H16",2,0.0209391233766491,0.210914470183218,0.0726099561319154,0.0247931613516262
"RHO",2,"H17",2,0.0334045768866912,0.232115406565879,0.0853937258671594,0.0461406720836465
"RHO",2,"H18",2,0.0585439838939257,0.322061953029288,0.115244131473463,0.0543576653851025
"RHO",2,"H19",2,0.0581695762128354,0.269474996043392,0.180395263209387,0.0549427681699093
"RHO",2,"H20",2,0.0493776782688983,0.260722338352274,0.278925513349254,0.0568992015821212
"RHO",2,"H21",2,0.0468469100921792,0.23171189550616,0.320953874715525,0.0470689504950803
"RHO",2,"H22",2,0.0260831426150301,0.152125361268373,0.340723289343307,0.020532723125856
"RHO",2,"H23",2,0.00450773991308181,0.0476711286290772,0.180939022692111,0.0022777684947129
"RHO",2,"H0",3,0.0154643881316139,0.00312250280740946,0.134388768542875,0.0124692441613683
"RHO",2,"H1",3,0.00545260783294655,0.00117902824252108,0.0961359640431508,0.00366754350846282
"RHO",2,"H2",3,0.0033245831621456,0.00150849553397527,0.0491959602133849,0.0038095814776216
"RHO",2,"H3",3,0.00510462587518992,0.00118247547513437,0.041257392007394,0.00217724517197706
"RHO",2,"H4",3,0.00649088088130961,0.000970852080143024,0.0271463295453015,0.00738381053080388
"RHO",2,"H5",3,0.0125393133685685,0.00219786098118686,0.0284126618027383,0.0159353643846852
"RHO",2,"H6",3,0.105243756625907,0.0228068955405976,0.112874284566046,0.13984218473058
"RHO",2,"H7",3,0.292702565627884,0.0656773030953835,0.202721985407162,0.355042953345693
"RHO",2,"H8",3,0.347042095211374,0.0731598893235024,0.25900539166442,0.391940750178853
"RHO",2,"H9",3,0.321446384762708,0.0707504737407826,0.324946003143857,0.331955625112623
"RHO",2,"H10",3,0.351342226712979,0.0778073754059723,0.343693405654896,0.357897496748261
"RHO",2,"H11",3,0.316868542216642,0.0551528754954945,0.306495479648801,0.178547888185414
"RHO",2,"H12",3,0.0230037930451252,0.0444329517540801,0.350977943973545,0.914098461191719
"RHO",2,"H13",3,0.638804065764888,0.0521772060441963,0.383332576106739,0.190199452780413
"RHO",2,"H14",3,0.23133850975788,0.0470772286507711,0.365133648990449,0.244495994824402
"RHO",2,"H15",3,0.29628810671577,0.0687614642084291,0.281208066788921,0.329847266894643
"RHO",2,"H16",3,0.272451682151327,0.0556016000247731,0.322481343639334,0.289417805136758
"RHO",2,"H17",3,0.251500662958952,0.0312436575664563,0.297130910961354,0.316152156145895
"RHO",2,"H18",3,0.368898471982203,0.0352159967170755,0.275520912518991,0.377071060779759
"RHO",2,"H19",3,0.318659471200644,0.0443672882255547,0.290699249911252,0.311789260878128
"RHO",2,"H20",3,0.304259184802167,0.050819898755037,0.311103544222399,0.332189188878991
"RHO",2,"H21",3,0.305917490880664,0.0527328659828589,0.233005015689413,0.295168871908128
"RHO",2,"H22",3,0.206588527324377,0.0402093724481008,0.302377966131313,0.195345814450169
"RHO",2,"H23",3,0.0620214546053195,0.0106110863547455,0.185619405886355,0.0489030674197767
