"PARAM","GROUP","VARIABLE","RESPCAT","ESTLC1","ESTLC2","ESTLC3"
"RHO",2,"H8",1,0.614730148466499,0.655408320412502,0.689132611938062
"RHO",2,"H9",1,0.662310646714023,0.675709426111169,0.620137584659243
"RHO",2,"H10",1,0.627907626988115,0.659118450762408,0.614605205279829
"RHO",2,"H11",1,0.721335418443475,0.754154298940289,0.670278109017129
"RHO",2,"H12",1,0.592883743910311,0.643843874041761,0.643979747860742
"RHO",2,"H13",1,0.496416623371478,0.550536664508218,0.529297812763377
"RHO",2,"H14",1,0.74256388375182,0.765683397332103,0.622882115070375
"RHO",2,"H15",1,0.672868983773543,0.702545769538197,0.672813906325776
"RHO",2,"H16",1,0.696979043273052,0.734396859408872,0.617282406512414
"RHO",2,"H17",1,0.683653605120681,0.736612660946294,0.631689544517667
"RHO",2,"H18",1,0.571177990119395,0.642828600966967,0.607272258425882
"RHO",2,"H19",1,0.626279465199154,0.68617338058641,0.535632587766128
"RHO",2,"H20",1,0.631985143690729,0.690072928248603,0.397705068147956
"RHO",2,"H21",1,0.651087582083439,0.716468960900276,0.434159924806197
"RHO",2,"H22",1,0.772192014682342,0.809872628926537,0.349195330289059
"RHO",2,"H23",1,0.937133611557747,0.943071257153517,0.645477192993098
"RHO",2,"H0",2,0.000803762361858664,0.0120857864317004,0.0848607991630208
"RHO",2,"H1",2,8.5413393465303e-005,0.00511262140945864,0.034798726154579
"RHO",2,"H2",2,3.86925010824798e-050,0.00308849919550603,0.0268365080409283
"RHO",2,"H3",2,7.62051431610975e-005,0.00381616193125085,0.0116751485265703
"RHO",2,"H4",2,0.00028221706391162,0.00392161089908787,0.00808327060358898
"RHO",2,"H5",2,0.000587320138196019,0.00604120414430847,0.00374236941130656
"RHO",2,"H6",2,0.0138181419220092,0.0903090207156787,0.0264664762499803
"RHO",2,"H7",2,0.0142823728416559,0.236467598219965,0.0190645249392426
"RHO",2,"H8",2,0.0209775396319276,0.270693535142599,0.0538627811854059
"RHO",2,"H9",2,0.0119927457076798,0.253295505789388,0.0558190354784718
"RHO",2,"H10",2,0.0168237521667992,0.263286281919154,0.0585642720558258
"RHO",2,"H11",2,0.0146233001342625,0.190562616568618,0.0373176740616251
"RHO",2,"H12",2,0.0343681222074826,0.309699770054283,0.0385497410121694
"RHO",2,"H13",2,0.0411564599449506,0.395441105305042,0.0795952562298939
"RHO",2,"H14",2,0.0170933960060275,0.187951635321918,0.0570872461381101
"RHO",2,"H15",2,0.0169407746452234,0.228749654779014,0.0564575857798653
"RHO",2,"H16",2,0.0219833891470168,0.20989493058362,0.0853443771753558
"RHO",2,"H17",2,0.0379094301560897,0.232063561466284,0.0930392970681716
"RHO",2,"H18",2,0.0558158865894395,0.322095116819787,0.131529699755158
"RHO",2,"H19",2,0.0558262662686206,0.269325721540243,0.201286104985717
"RHO",2,"H20",2,0.0508023618619554,0.258777379505785,0.320699388355334
"RHO",2,"H21",2,0.0451136329063649,0.229915487586713,0.369126881476561
"RHO",2,"H22",2,0.0232319964654306,0.14966967586047,0.37821670351464
"RHO",2,"H23",2,0.0037245064744039,0.0464020782568865,0.194701918243424
"RHO",2,"H0",3,0.0161431890714937,0.00303972802256252,0.113644185121343
"RHO",2,"H1",3,0.00554533713917366,0.00113466896088715,0.089326293360347
"RHO",2,"H2",3,0.00403207184584971,0.00143205166743707,0.0442527918988867
"RHO",2,"H3",3,0.00440579071427641,0.00104885854396484,0.0372825113743312
"RHO",2,"H4",3,0.00735978215678213,0.000840251021468007,0.0212114044905952
"RHO",2,"H5",3,0.0141136624792184,0.00207631233214877,0.0262239929543017
"RHO",2,"H6",3,0.118960093973693,0.0227327578298282,0.110913498862097
"RHO",2,"H7",3,0.315754385131435,0.066589958725847,0.213923802110876
"RHO",2,"H8",3,0.364292311901573,0.0738981444448983,0.257004606876533
"RHO",2,"H9",3,0.325696607578297,0.0709950680994428,0.324043379862285
"RHO",2,"H10",3,0.355268620845086,0.0775952673184376,0.326830522664345
"RHO",2,"H11",3,0.264041281422262,0.0552830844910931,0.292404216921246
"RHO",2,"H12",3,0.372748133882207,0.0464563559039557,0.317470511127089
"RHO",2,"H13",3,0.462426916683572,0.0540222301867396,0.39110693100673
"RHO",2,"H14",3,0.240342720242152,0.046364967345979,0.320030638791515
"RHO",2,"H15",3,0.310190241581233,0.0687045756827895,0.270728507894359
"RHO",2,"H16",3,0.281037567579932,0.0557082100075089,0.297373216312231
"RHO",2,"H17",3,0.27843696472323,0.0313237775874218,0.275271158414161
"RHO",2,"H18",3,0.373006123291166,0.0350762822132455,0.26119804181896
"RHO",2,"H19",3,0.317894268532225,0.0445008978733472,0.263081307248155
"RHO",2,"H20",3,0.317212494447315,0.0511496922456123,0.28159554349671
"RHO",2,"H21",3,0.303798785010196,0.0536155515130104,0.196713193717242
"RHO",2,"H22",3,0.204575988852228,0.0404576952129925,0.272587966196301
"RHO",2,"H23",3,0.0591418819678489,0.0105266645895963,0.159820888763478
